Date,Close,High,Low,Open,Volume
2004-09-29,19.877973556518555,19.933800639346984,19.873986668311332,19.877973556518555,205800
2004-09-30,20.0374698638916,20.0693710435695,19.933794072202367,19.93778095909612,27900
2004-10-01,20.4083194732666,20.43623225416706,20.03747650286624,20.07735146954333,129800
2004-10-04,20.496044158935547,20.555856602920986,20.49205574999046,20.49205574999046,8100
2004-10-05,20.492061614990234,20.53592499914635,20.476111016909325,20.496050025076837,11900
2004-10-06,20.587753295898438,20.587753295898438,20.531927751911795,20.535914638854276,9300
2004-10-07,20.376420974731445,20.595737883824505,20.376420974731445,20.595737883824505,7900
2004-10-08,20.476102828979492,20.563829562211794,20.436227870855074,20.563829562211794,16400
2004-10-11,20.396358489990234,20.535922402720747,20.37641948434368,20.535922402720747,4500
2004-10-12,20.464143753051758,20.464143753051758,20.336542042319948,20.416293491810425,3600
2004-10-13,20.51598358154297,20.567822254807993,20.51598358154297,20.55585854797301,2500
2004-10-14,20.67548370361328,20.679472112691784,20.515982326517847,20.515982326517847,19200
2004-10-15,20.88681983947754,20.88681983947754,20.76719345748652,20.775167231304874,9800
2004-10-18,20.99847984313965,21.054305410365302,20.85094062673862,20.874865000616687,4000
2004-10-19,20.88681983947754,21.13404789840991,20.88681983947754,21.054296470038572,6200
2004-10-20,20.787128448486328,20.85491616575985,20.591737548398793,20.85491616575985,5500
2004-10-21,20.99847984313965,20.99847984313965,20.74726326949159,20.74726326949159,7400
2004-10-22,20.830989837646484,21.094168430153246,20.830989837646484,20.99447954630778,69900
2004-10-25,20.731304168701172,20.815042479045456,20.659528039511244,20.815042479045456,14000
2004-10-26,20.92669105529785,20.92669105529785,20.743263867598817,20.78712722142504,9000
2004-10-27,21.17392921447754,21.17392921447754,21.030378425632644,21.078228688580943,9100
2004-10-28,21.185888290405273,21.23373854289481,21.122087446708527,21.138036516783636,12800
2004-10-29,21.17392921447754,21.305519339000902,21.12607895152924,21.305519339000902,50200
2004-11-01,21.381284713745117,21.381284713745117,21.20583271637987,21.213808014596374,5400
2004-11-02,21.17392921447754,21.421158868830688,21.17392921447754,21.421158868830688,14100
2004-11-03,21.38925552368164,21.488944448770486,21.357355858641995,21.488944448770486,12800
2004-11-04,21.71225357055664,21.71225357055664,21.37331022855876,21.37331022855876,5200
2004-11-05,21.126070022583008,21.64844036952427,21.094170367810694,21.64844036952427,51900
2004-11-08,21.18190574645996,21.217793826046112,21.090192103324803,21.19386945374369,31600
2004-11-09,21.261655807495117,21.261655807495117,21.150004687727634,21.18589276495753,22300
2004-11-10,21.413185119628906,21.469010683960107,21.237731607579367,21.29355869304311,13600
2004-11-11,21.58863639831543,21.58863639831543,21.41318441318677,21.425146599110942,13600
2004-11-12,22.011308670043945,22.011308670043945,21.608564676009465,21.64046585305973,14900
2004-11-15,22.29044532775879,22.314369697403286,22.11100494976331,22.14290461633342,39900
2004-11-16,22.154869079589844,22.418047802601787,22.154869079589844,22.418047802601787,26000
2004-11-17,21.64046859741211,22.25056423511569,21.564705574007544,22.230626757496807,21500
2004-11-18,21.60457992553711,21.847821100633738,21.4251395897173,21.847821100633738,80200
2004-11-19,21.381284713745117,21.708264334958706,21.381284713745117,21.64047658181734,74800
2004-11-22,21.528810501098633,21.540772679551466,21.333419633290244,21.46899656657137,84200
2004-11-23,21.620546340942383,21.696309417685146,21.441105873779925,21.51288206064491,9100
2004-11-24,21.995361328125,22.051186875071206,21.83187157444023,21.83187157444023,10600
2004-11-26,21.971437454223633,22.126953447844812,21.95149997436416,22.09106537564488,11800
2004-11-29,21.891677856445312,22.03124167489247,21.788000573200392,22.03124167489247,86900
2004-11-30,22.011308670043945,22.011308670043945,21.819906171137873,21.97143219873111,32800
2004-12-01,22.4379825592041,22.477857519218723,22.0631527632171,22.07112653831425,23600
2004-12-02,22.246578216552734,22.43798074720403,22.14688930343443,22.43798074720403,36900
2004-12-03,22.545654296875,22.553629595764587,22.330325790254264,22.330325790254264,35800
2004-12-06,22.65331268310547,22.753001611707376,22.513747270383394,22.589511829645538,53800
2004-12-07,22.3662109375,22.701165841211942,22.33430974613099,22.701165841211942,47900
2004-12-08,22.4260311126709,22.529706971026684,22.330329033229987,22.414067402032693,76000
2004-12-09,22.589515686035156,22.589515686035156,22.306397924412458,22.44596336096057,24900
2004-12-10,22.780906677246094,22.780906677246094,22.561591412800464,22.569565185792534,13700
2004-12-13,22.71711540222168,22.848704007794176,22.693189509784652,22.848704007794176,14900
2004-12-14,22.697172164916992,22.725086461453714,22.5775457673072,22.68919839005756,12800
2004-12-15,22.741039276123047,22.800853245341102,22.60546226421022,22.79287794803653,21700
2004-12-16,22.533679962158203,22.77692113962512,22.533679962158203,22.77692113962512,11000
2004-12-17,22.78888511657715,22.78888511657715,22.350253006016274,22.58950729935821,28300
