Date,Close,High,Low,Open,Volume
1993-01-29,24.175392150878906,24.192586597643402,24.072225470291944,24.192586597643402,1003200
1993-02-01,24.347318649291992,24.34731864929199,24.19256874262276,24.19256874262276,480500
1993-02-02,24.398916244506836,24.416110688653777,24.278555135478264,24.33013846791908,201300
1993-02-03,24.656829833984375,24.674024275988547,24.41610764592595,24.433302087930123,529400
1993-02-04,24.75999641418457,24.811579740047453,24.467690900961557,24.74280197223027,531500
1993-02-05,24.742801666259766,24.79438499148477,24.605246132326425,24.742801666259766,492100
1993-02-08,24.742801666259766,24.828773874968103,24.70841278277643,24.742801666259766,596100
1993-02-09,24.570852279663086,24.65682447098451,24.519268964870232,24.65682447098451,122100
1993-02-10,24.605241775512695,24.622436214209767,24.50207514333025,24.570852898118545,379600
1993-02-11,24.725610733032227,24.828777398121375,24.639638512124602,24.639638512124602,19500
1993-02-12,24.53646469116211,24.691214643664186,24.53646469116211,24.691214643664186,42500
1993-02-16,23.917463302612305,24.46768531963861,23.88307442654816,24.46768531963861,374800
1993-02-17,23.900257110595703,23.951840399323608,23.814284962715863,23.917451540171673,210900
1993-02-18,23.883073806762695,24.175379245722354,23.55637949263131,24.175379245722354,378100
1993-02-19,23.96906280517578,23.969062805175778,23.84870165766055,23.883090556950616,34900
1993-02-22,24.055015563964844,24.089404435392957,23.96904338539456,24.037821128250787,513600
1993-02-23,24.037822723388672,24.140989344519095,23.917461665403177,24.123794907664024,373700
1993-02-24,24.347318649291992,24.34731864929199,24.055013270027892,24.055013270027892,26300
1993-02-25,24.398916244506836,24.416110688653777,24.278555135478264,24.33013846791908,44500
1993-02-26,24.433292388916016,24.450486824094707,24.3129313426652,24.450486824094707,66200
1993-03-01,24.364511489868164,24.519261386416375,24.330122623968563,24.519261386416375,66500
1993-03-02,24.725610733032227,24.725610733032227,24.34733296103869,24.381721849401735,182400
1993-03-03,24.828773498535156,24.845967940016134,24.725606849649274,24.759995732611234,280100
1993-03-04,24.691200256347656,24.863144547826398,24.691200256347656,24.863144547826398,89500
1993-03-05,24.622434616088867,24.82876786706168,24.6052401785078,24.725601241575273,40000
1993-03-08,25.172653198242188,25.172653198242188,24.67401457614586,24.67401457614586,50800
1993-03-09,25.086687088012695,25.13827040621971,25.035103769805676,25.121075966817372,169300
1993-03-10,25.138277053833008,25.138277053833008,24.983527058289578,25.0866937219852,194400
1993-03-11,25.069507598876953,25.224257645783602,25.035118699564364,25.155479847158425,70900
1993-03-12,24.811574935913086,24.880352690413194,24.65682498828785,24.863158251788168,643600
